,,,,,,Mean,SEM,Mean,SEM,Mean,SEM,Mean,SEM,Mean,SEM,Mean,SEM,Mean,SEM,Mean,SEM,Mean,SEM,Mean,SEM,Mean,SEM,Mean,SEM,Mean,SEM,Mean,SEM
Animal ID,Publication,Group (Normal uninfected control; ZIKV-infected),Sex (Female = 0; Male = 1),# of animals of that Sex,"Rearing (nursery, mother)",Hippocampus (mm3),Hippocampus (mm3),Amygdala (mm3),Amygdala (mm3),ICV (mm3),ICV (mm3),TBV (mm3),TBV (mm3),CSF (mm3),CSF (mm3),Lateral Ventricle (mm3),Lateral Ventricle (mm3),RT Temporal Auditory (mm3),RT Temporal Auditory (mm3),RT Temporal Visual (mm3),RT Temporal Visual (mm3),RT Temporal Limbic (mm3),RT Temporal Limbic (mm3),RT Occipital (mm3),RT Occipital (mm3),LT Temporal Auditory (mm3),LT Temporal Auditory (mm3),LT Temporal Visual (mm3),LT Temporal Visual (mm3),LT Temporal Limbic (mm3),LT Temporal Limbic (mm3),LT Occipital (mm3),LT Occipital (mm3)
RPY13,EESND data from Sanchez lab,Normal,1,,mother,391.41,,324.258,,73296.696,,64097.3,,8036.98,,,,2062.281,,3770.338,,1205.744,,5640.72,,1955.358,,3621.867,,1036.615,,5621.61,
RRM13,EESND data from Sanchez lab,Normal,1,,mother,373.488,,361.165,,72493.127,,62944.1,,8334.94,,,,2064.835,,3722.661,,1138.037,,5543,,2062.853,,3661.131,,986.037,,5508.83,
RRV13,EESND data from Sanchez lab,Normal,0,,mother,329.939,,262.501,,60064.23,,51642.5,,7452.94,,239.203,,2290.526,,4349.12,,1214.697,,5035.22,,2182.054,,3598.078,,1107.957,,5110.4,
RSA15,EESND data from Sanchez lab,Normal,0,,mother,321.11,,256.451,,62703.234,,55479.5,,6185.38,,255.287,,2341.108,,4081.82,,1164.48,,5103.05,,2269.563,,3641.979,,1033.304,,4920.51,
RSB14,EESND data from Sanchez lab,Normal,1,,mother,390.47,,349.721,,82892.174,,71362.1,,10348.1,,,,2391.361,,4180.83,,1209.646,,6613.35,,1909.767,,3767.539,,1068.639,,6612.04,
RST14,EESND data from Sanchez lab,Normal,0,,mother,427.173,,344.979,,75684.517,,65504.6,,8996.98,,341.117,,2457.244,,4123.23,,1143.25,,5971.23,,1987.951,,3700.277,,1018.713,,5909.4,
RTA15,EESND data from Sanchez lab,Normal,1,,mother,447.609,,404.796,,87288.2,,75204,,10793.3,,,,2539.582,,4873.88,,1303.611,,7061.16,,2456.729,,4423.389,,1222.769,,7100.93,
RTM13,EESND data from Sanchez lab,Normal,0,,mother,418.161,,401.302,,84502.81,,72473.8,,10697.5,,,,2657.354,,4920.76,,1206.279,,6651.63,,2534.042,,4312.113,,1141.653,,6479.56,
RUB14,EESND data from Sanchez lab,Normal,0,,mother,354.013,,302.023,,70447.894,,60623.7,,8663.98,,308.604,,1961.502,,3773.421,,1138.118,,5516.77,,1999.726,,3789.651,,1107.381,,5308.67,
RUL13,EESND data from Sanchez lab,Normal,0,,mother,407.207,,357.773,,75361.838,,64748,,9573.87,,,,2065.503,,3726.13,,1062.344,,5330.64,,2077.216,,3670.65,,1056.377,,5306.02,
RUU14,EESND data from Sanchez lab,Normal,0,,mother,417.588,,367.48,,73392.022,,61616.1,,10583.6,,268.651,,2283.574,,3840.981,,1147.525,,5526.99,,2377.604,,3961.515,,1056.846,,5307.9,
RWM14,EESND data from Sanchez lab,Normal,0,,mother,420.409,,388.263,,84150.957,,73827.7,,9133.84,,418.529,,2403.002,,3856.967,,1116.09,,7029.59,,2485.851,,4019.756,,974.163,,6975.96,
RWS14,EESND data from Sanchez lab,Normal,0,,mother,411.642,,382.398,,75200.878,,65305.2,,8756.37,,310.463,,1973.644,,3373.29,,1035.573,,5882.48,,2334.727,,4485.84,,1320.284,,6024.57,
RWS15,EESND data from Sanchez lab,Normal,0,,mother,389.224,,344.285,,79057.346,,68937,,8966.35,,271.227,,2055.776,,3220.471,,963.373,,7130.47,,2440.409,,4406.71,,1255.014,,6959.29,
RYM14,EESND data from Sanchez lab,Normal,1,,mother,501.376,,404.04,,84722.337,,72963.4,,10487.9,,,,2420.519,,4361.84,,1196.999,,6803.22,,2227.728,,3826.02,,1115.192,,6532.3,
RZU14,EESND data from Sanchez lab,Normal,0,,mother,471.07,,337.296,,75166.139,,66125.6,,7818.28,,344.898,,2563.328,,4355.09,,1176.989,,5721.9,,2220.436,,3777.389,,1056.602,,5621.8,
